kit_id,brand,model_name,timestamp,region,generation,form_factor,capacity_gb,module_count,is_ecc,speed_mts,cas_latency,voltage,timing_string,die_manufacturer,die_type,true_latency_ns,bandwidth_per_dollar,latency_value_index,speed_premium_ratio,price_per_gb,price_usd,market_segment,recommended_usage,price_status,global_inventory_weeks,fab_utilization_rate,gpu_hbm_trend_gb
MPN-000021,ADATA,ADATA DDR5 7600MT/s,2026-01-03,Greater China,DDR5,DIMM,128,2,False,7600,34,1.25,34-36-36-72,Micron,B-Die,8.9474,9.8287,55348.0,6.904,48.33,6185.95,Enterprise/AI,AI / Data Science,Shortage-Inflated,7.46,0.801,207.2
MPN-000022,ADATA,ADATA DDR5 8400MT/s,2026-12-30,Greater China,DDR5,DIMM,96,1,True,8400,42,1.25,42-44-44-88,SK Hynix,A-Die,10.0,9.356,71825.19,10.6883,74.82,7182.52,Enterprise/AI,AI / Data Science,Shortage-Inflated,3.73,0.9492,289.54
MPN-000023,Patriot,Patriot DDR5 4800MT/s,2025-06-11,North America,DDR5,DIMM,64,2,False,4800,38,1.3,38-40-40-80,Micron,Z-Die,15.8333,19.2097,31650.67,4.462,31.23,1998.99,Enterprise/AI,Content Creation,Shortage-Inflated,8.66,0.7164,160.21
MPN-000024,Crucial,Crucial DDR5 8000MT/s,2024-03-19,EMEA,DDR5,SODIMM,512,1,False,8000,30,1.45,30-32-32-64,SK Hynix,A-Die,7.5,9.6302,49843.42,1.8543,12.98,6645.79,Enterprise/AI,AI / Data Science,Normal,13.66,0.532,57.79
MPN-000025,Lexar,Lexar DDR5 5200MT/s,2024-10-24,Latin America,DDR5,SODIMM,16,2,False,5200,42,1.25,42-44-44-88,Micron,R-Die,16.1538,326.0547,2061.0,1.1392,7.97,127.59,Consumer,Gaming (AAA),Normal,11.22,0.6219,107.75
MPN-000026,Crucial,Crucial DDR4 2400MT/s,2026-11-09,Latin America,DDR4,DIMM,64,2,False,2400,18,1.45,18-20-20-40,Samsung,B-Die,15.0,8.7825,32792.41,10.6746,34.16,2186.16,Enterprise/AI,Content Creation,Shortage-Inflated,3.04,0.9282,277.91
MPN-000027,Pny,Pny DDR5 8400MT/s,2026-08-18,EMEA,DDR5,DIMM,64,2,False,8400,36,1.3,36-38-38-76,Micron,Z-Die,8.5714,15.2641,37735.51,9.827,68.79,4402.48,Enterprise/AI,Content Creation,Shortage-Inflated,4.49,0.8942,258.98
MPN-000028,SK Hynix,SK Hynix DDR5 7600MT/s,2024-04-07,Latin America,DDR5,SODIMM,48,2,False,7600,38,1.4,38-40-40-80,Micron,B-Die,10.0,173.5274,3503.77,1.0428,7.3,350.38,Consumer,Content Creation,Normal,14.05,0.5398,62.13
MPN-000029,Kingston,Kingston DDR5 6400MT/s,2024-03-07,Latin America,DDR5,DIMM,192,1,False,6400,42,1.25,42-44-44-88,SK Hynix,C-Die,13.125,19.7694,33991.86,1.927,13.49,2589.86,Enterprise/AI,AI / Data Science,Normal,14.59,0.5271,55.05
MPN-000030,G.Skill,G.Skill DDR4 4000MT/s,2025-03-26,North America,DDR4,DIMM,8,2,False,4000,22,1.2,22-24-24-48,Micron,R-Die,11.0,592.4323,594.16,2.1099,6.75,54.01,Consumer,Basic Productivity,Normal,9.36,0.6848,142.65
MPN-000031,ADATA,ADATA DDR5 8000MT/s,2026-09-16,EMEA,DDR5,DIMM,128,2,False,8000,28,1.3,28-30-30-60,SK Hynix,C-Die,7.0,7.2946,61415.66,9.792,68.54,8773.67,Enterprise/AI,AI / Data Science,Shortage-Inflated,4.38,0.9061,265.59
MPN-000032,Silicon Power,Silicon Power DDR5 5600MT/s,2025-03-18,Latin America,DDR5,SODIMM,192,2,False,5600,28,1.35,28-30-30-60,Micron,Z-Die,10.0,9.2666,48345.75,3.5972,25.18,4834.57,Enterprise/AI,AI / Data Science,Shortage-Inflated,10.86,0.6815,140.82
MPN-000033,Samsung,Samsung DDR5 5600MT/s,2025-02-10,Asia-Pacific,DDR5,DIMM,128,2,False,5600,42,1.3,42-44-44-88,Samsung,D-Die,15.0,15.6135,43039.71,3.2024,22.42,2869.31,Enterprise/AI,AI / Data Science,Shortage-Inflated,10.59,0.6667,132.61
MPN-000034,Micron,Micron DDR4 2666MT/s,2024-08-17,EMEA,DDR4,DIMM,64,2,False,2666,17,1.2,17-19-19-38,Micron,R-Die,12.7532,49.935,5447.08,2.0855,6.67,427.12,Enterprise/AI,Content Creation,Normal,12.87,0.594,92.24
MPN-000035,Micron,Micron DDR5 8000MT/s,2026-12-13,Greater China,DDR5,SODIMM,64,2,False,8000,36,1.45,36-38-38-76,Samsung,C-Die,9.0,12.8312,44890.57,11.1336,77.94,4987.84,Enterprise/AI,Content Creation,Shortage-Inflated,4.09,0.9422,285.67
MPN-000036,Samsung,Samsung DDR6 (Preview) 16000MT/s,2024-08-22,Latin America,DDR6 (Preview),DIMM,32,4,False,16000,84,1.2,84-86-86-172,SK Hynix,M-Die,10.5,131.5348,10217.83,1.0861,30.41,973.13,Consumer,Gaming (AAA),Normal,11.98,0.5961,93.38
MPN-000037,Corsair,Corsair DDR5 7200MT/s,2025-04-22,Asia-Pacific,DDR5,SODIMM,96,2,False,7200,38,1.35,38-40-40-80,Samsung,E-Die,10.5556,20.7322,29326.34,4.1344,28.94,2778.28,Enterprise/AI,AI / Data Science,Shortage-Inflated,10.55,0.6958,148.8
MPN-000038,Patriot,Patriot DDR5 6000MT/s,2026-06-07,Latin America,DDR5,DIMM,48,2,False,6000,30,1.1,30-32-32-64,SK Hynix,C-Die,10.0,28.6902,16730.46,4.9793,34.86,1673.05,Consumer,Content Creation,Shortage-Inflated,5.39,0.8646,242.55
MPN-000039,Crucial,Crucial DDR5 8000MT/s,2025-08-04,Europe,DDR5,DIMM,32,2,True,8000,32,1.1,32-34-34-68,Samsung,D-Die,8.0,94.629,5410.6,3.0193,21.14,676.33,Consumer,Gaming (AAA),Shortage-Inflated,8.35,0.7385,172.53
MPN-000040,G.Skill,G.Skill DDR5 7200MT/s,2024-10-21,EMEA,DDR5,DIMM,64,2,False,7200,38,1.35,38-40-40-80,Micron,Z-Die,10.5556,63.6395,9553.82,2.0203,14.14,905.1,Enterprise/AI,Content Creation,Normal,12.6,0.6207,107.06
MPN-000041,Kingston,Kingston DDR5 6000MT/s,2026-09-26,EMEA,DDR5,SODIMM,192,8,False,6000,42,1.45,42-44-44-88,Samsung,M-Die,14.0,3.4673,193812.91,10.3004,72.1,13843.78,Enterprise/AI,AI / Data Science,Shortage-Inflated,4.23,0.9102,267.87
MPN-000042,Pny,Pny DDR5 6000MT/s,2026-01-10,Greater China,DDR5,DIMM,512,4,True,6000,42,1.35,42-44-44-88,Micron,B-Die,14.0,1.7735,378903.91,7.5515,52.86,27064.57,Enterprise/AI,AI / Data Science,Shortage-Inflated,7.04,0.8038,208.8
MPN-000043,Corsair,Corsair DDR5 8400MT/s,2025-03-11,Greater China,DDR5,DIMM,32,2,False,8400,32,1.4,32-34-34-68,Micron,Z-Die,7.619,148.0734,3457.74,2.026,14.18,453.83,Consumer,Gaming (AAA),Normal,9.96,0.6786,139.22
MPN-000044,Pny,Pny DDR5 6400MT/s,2025-05-13,Greater China,DDR5,DIMM,16,4,True,6400,28,1.1,28-30-30-60,SK Hynix,C-Die,8.75,196.6317,2278.37,2.3249,16.27,260.39,Consumer,Gaming (AAA),Normal,9.55,0.7045,153.59
MPN-000045,Crucial,Crucial DDR5 6800MT/s,2024-01-15,Greater China,DDR5,LRDIMM,64,4,True,6800,30,1.1,30-32-32-64,Samsung,M-Die,8.8235,67.7283,7087.14,1.7929,12.55,803.21,Enterprise/AI,Content Creation,Normal,14.5,0.5057,43.19
MPN-000046,Lexar,Lexar DDR5 5200MT/s,2024-12-16,Latin America,DDR5,DIMM,192,2,True,5200,30,1.4,30-32-32-64,Micron,R-Die,11.5385,15.3346,31301.67,2.0185,14.13,2712.81,Enterprise/AI,AI / Data Science,Normal,10.58,0.6437,119.84
MPN-000047,Patriot,Patriot DDR5 4800MT/s,2024-11-12,Europe,DDR5,LRDIMM,48,2,True,4800,30,1.35,30-32-32-64,Micron,R-Die,12.5,58.1712,8251.5,1.9646,13.75,660.12,Enterprise/AI,Content Creation,Normal,11.92,0.6297,112.08
MPN-000048,ADATA,ADATA DDR5 7600MT/s,2026-03-09,North America,DDR5,DIMM,512,4,False,7600,42,1.35,42-44-44-88,SK Hynix,C-Die,11.0526,2.1458,313168.37,7.9058,55.34,28334.28,Enterprise/AI,AI / Data Science,Shortage-Inflated,6.55,0.8276,222.03
MPN-000049,Micron,Micron DDR5 7200MT/s,2026-07-13,EMEA,DDR5,DIMM,192,1,False,7200,32,1.4,32-34-34-68,Micron,R-Die,8.8889,4.88,104918.45,8.7822,61.48,11803.33,Enterprise/AI,AI / Data Science,Shortage-Inflated,4.99,0.8794,250.77
MPN-000050,Patriot,Patriot DDR5 5600MT/s,2025-02-14,EMEA,DDR5,DIMM,192,2,False,5600,30,1.3,30-32-32-64,Samsung,M-Die,10.7143,10.7662,44583.99,3.0961,21.67,4161.17,Enterprise/AI,AI / Data Science,Shortage-Inflated,9.95,0.6683,133.52
MPN-000051,Pny,Pny DDR5 8000MT/s,2025-10-25,Europe,DDR5,SODIMM,48,2,False,8000,42,1.45,42-44-44-88,SK Hynix,D-Die,10.5,52.4223,12818.96,3.6335,25.43,1220.85,Consumer,Content Creation,Shortage-Inflated,7.11,0.7722,191.23
MPN-000052,Samsung,Samsung DDR6 (Preview) 12800MT/s,2025-07-27,Greater China,DDR6 (Preview),DIMM,256,2,False,12800,84,1.0,84-86-86-172,Micron,B-Die,13.125,2.6976,498220.38,5.2957,148.28,37959.65,Enterprise/AI,AI / Data Science,Shortage-Inflated,8.57,0.7353,170.7
MPN-000053,Corsair,Corsair DDR5 6400MT/s,2025-02-06,North America,DDR5,DIMM,256,2,False,6400,38,1.4,38-40-40-80,SK Hynix,M-Die,11.875,8.9982,67569.42,3.1753,22.23,5690.06,Enterprise/AI,AI / Data Science,Shortage-Inflated,10.15,0.6651,131.7
MPN-000054,Patriot,Patriot DDR4 2133MT/s,2025-07-03,Asia-Pacific,DDR4,DIMM,32,2,False,2133,22,1.45,22-24-24-48,Micron,B-Die,20.6282,59.5254,5913.44,2.7995,8.96,286.67,Consumer,Gaming (AAA),Shortage-Inflated,9.52,0.7254,165.23
MPN-000055,Patriot,Patriot DDR5 4800MT/s,2025-09-05,Europe,DDR5,DIMM,96,4,False,4800,28,1.35,28-30-30-60,Micron,E-Die,11.6667,9.8346,45553.52,5.8104,40.67,3904.59,Enterprise/AI,AI / Data Science,Shortage-Inflated,8.29,0.7517,179.83
MPN-000056,Samsung,Samsung DDR4 2400MT/s,2025-02-03,North America,DDR4,SODIMM,32,2,False,2400,19,1.4,19-21-21-42,Samsung,D-Die,15.8333,103.9516,2924.44,1.8037,5.77,184.7,Consumer,Gaming (AAA),Normal,10.07,0.6638,131.01
MPN-000057,Micron,Micron DDR5 6000MT/s,2025-11-19,Europe,DDR5,DIMM,192,4,True,6000,32,1.25,32-34-34-68,Samsung,D-Die,10.6667,5.4383,94147.85,6.5672,45.97,8826.36,Enterprise/AI,AI / Data Science,Shortage-Inflated,7.99,0.7825,196.93
MPN-000058,Pny,Pny DDR6 (Preview) 21000MT/s,2024-05-25,EMEA,DDR6 (Preview),SODIMM,64,2,False,21000,60,1.1,60-62-62-124,Micron,B-Die,5.7143,48.2675,19889.17,1.9423,54.38,3480.61,Enterprise/AI,Content Creation,Normal,13.27,0.5595,73.07
MPN-000059,Crucial,Crucial DDR5 6800MT/s,2025-08-29,Greater China,DDR5,LRDIMM,512,2,True,6800,30,1.25,30-32-32-64,Micron,E-Die,8.8235,2.698,177908.07,5.6258,39.38,20162.91,Enterprise/AI,AI / Data Science,Shortage-Inflated,8.87,0.7488,178.23
MPN-000060,TeamGroup,TeamGroup DDR5 5200MT/s,2024-01-29,Europe,DDR5,DIMM,16,1,False,5200,40,1.35,40-42-42-84,SK Hynix,M-Die,15.3846,355.484,1800.36,1.0449,7.31,117.02,Consumer,Gaming (AAA),Normal,14.52,0.5115,46.39
MPN-000061,Silicon Power,Silicon Power DDR5 8400MT/s,2026-09-18,EMEA,DDR5,LRDIMM,96,1,True,8400,30,1.45,30-32-32-64,Samsung,E-Die,7.1429,10.0885,47579.14,9.9123,69.39,6661.08,Enterprise/AI,AI / Data Science,Shortage-Inflated,3.92,0.9069,266.05
MPN-000062,SK Hynix,SK Hynix DDR5 6400MT/s,2024-07-23,Greater China,DDR5,DIMM,16,2,False,6400,34,1.4,34-36-36-72,Micron,Z-Die,10.625,428.343,1270.01,1.0672,7.47,119.53,Consumer,Gaming (AAA),Normal,12.53,0.5838,86.53
MPN-000063,G.Skill,G.Skill DDR6 (Preview) 16000MT/s,2025-08-04,Asia-Pacific,DDR6 (Preview),DIMM,256,4,False,16000,60,1.2,60-62-62-124,SK Hynix,A-Die,7.5,3.4342,279544.05,5.1999,145.6,37272.54,Enterprise/AI,AI / Data Science,Shortage-Inflated,9.07,0.7385,172.53
MPN-000064,ADATA,ADATA DDR5 6000MT/s,2024-09-06,Latin America,DDR5,DIMM,16,2,True,6000,30,1.45,30-32-32-64,Micron,E-Die,10.0,371.1605,1293.24,1.1547,8.08,129.32,Consumer,Gaming (AAA),Normal,12.52,0.6022,96.8
MPN-000065,Corsair,Corsair DDR5 8000MT/s,2025-03-27,Europe,DDR5,SODIMM,128,1,False,8000,28,1.45,28-30-30-60,SK Hynix,D-Die,7.0,19.6079,22847.94,3.6428,25.5,3263.99,Enterprise/AI,AI / Data Science,Shortage-Inflated,10.12,0.6852,142.87
MPN-000066,Micron,Micron DDR5 8400MT/s,2026-05-05,Europe,DDR5,DIMM,128,2,False,8400,38,1.35,38-40-40-80,Micron,B-Die,9.0476,8.5139,71412.34,8.8091,61.66,7892.94,Enterprise/AI,AI / Data Science,Shortage-Inflated,5.85,0.851,235.03
MPN-000067,G.Skill,G.Skill DDR5 6400MT/s,2024-01-09,Greater China,DDR5,DIMM,192,2,True,6400,42,1.35,42-44-44-88,Micron,R-Die,13.125,21.7973,30829.44,1.7477,12.23,2348.91,Enterprise/AI,AI / Data Science,Normal,15.28,0.5033,41.82
MPN-000068,Pny,Pny DDR5 5600MT/s,2026-04-16,Asia-Pacific,DDR5,DIMM,96,2,True,5600,40,1.25,40-42-42-84,SK Hynix,D-Die,14.2857,7.9078,80932.48,8.4305,59.01,5665.27,Enterprise/AI,AI / Data Science,Shortage-Inflated,5.6,0.8432,230.69
MPN-000069,Crucial,Crucial DDR6 (Preview) 21000MT/s,2026-01-11,North America,DDR6 (Preview),SODIMM,64,1,False,21000,60,1.0,60-62-62-124,SK Hynix,D-Die,5.7143,12.8304,74822.26,7.3069,204.59,13093.9,Enterprise/AI,Content Creation,Shortage-Inflated,7.0,0.8042,209.02
MPN-000070,ADATA,ADATA DDR6 (Preview) 17600MT/s,2024-05-31,EMEA,DDR6 (Preview),DIMM,32,8,False,17600,64,1.0,64-66-66-132,SK Hynix,A-Die,7.2727,154.3361,6634.87,1.0182,28.51,912.29,Consumer,Gaming (AAA),Normal,12.96,0.562,74.44
MPN-000071,ADATA,ADATA DDR5 6000MT/s,2026-04-09,Latin America,DDR5,DIMM,64,1,True,6000,34,1.35,34-36-36-72,Samsung,D-Die,11.3333,13.1825,41266.94,8.1277,56.89,3641.2,Enterprise/AI,Content Creation,Shortage-Inflated,6.32,0.8404,229.1
MPN-000072,Kingston,Kingston DDR5 6800MT/s,2025-10-25,Asia-Pacific,DDR5,DIMM,512,2,False,6800,36,1.1,36-38-38-76,Micron,R-Die,10.5882,2.2946,251029.26,6.615,46.31,23708.32,Enterprise/AI,AI / Data Science,Shortage-Inflated,7.46,0.7722,191.23
MPN-000073,Micron,Micron DDR5 8000MT/s,2025-08-31,Greater China,DDR5,DIMM,48,2,False,8000,38,1.35,38-40-40-80,SK Hynix,C-Die,9.5,59.0732,10292.31,3.2244,22.57,1083.4,Consumer,Content Creation,Shortage-Inflated,8.83,0.7496,178.69
MPN-000074,Corsair,Corsair DDR5 8400MT/s,2026-08-21,North America,DDR5,LRDIMM,96,4,True,8400,28,1.35,28-30-30-60,Samsung,M-Die,6.6667,11.0519,40535.86,9.0482,63.34,6080.38,Enterprise/AI,AI / Data Science,Shortage-Inflated,4.14,0.8954,259.66
MPN-000075,Corsair,Corsair DDR5 6800MT/s,2024-05-28,Asia-Pacific,DDR5,DIMM,512,2,False,6800,34,1.35,34-36-36-72,SK Hynix,C-Die,10.0,7.7542,70155.94,1.9575,13.7,7015.59,Enterprise/AI,AI / Data Science,Normal,12.67,0.5608,73.76
MPN-000076,Corsair,Corsair DDR6 (Preview) 21000MT/s,2025-08-20,EMEA,DDR6 (Preview),DIMM,128,2,False,21000,72,1.0,72-74-74-148,SK Hynix,A-Die,6.8571,8.1479,141386.09,5.753,161.08,20618.8,Enterprise/AI,AI / Data Science,Shortage-Inflated,7.68,0.7451,176.18
MPN-000077,Corsair,Corsair DDR5 8400MT/s,2025-04-15,Asia-Pacific,DDR5,DIMM,256,2,True,8400,40,1.25,40-42-42-84,Samsung,D-Die,9.5238,9.5782,66818.59,3.9152,27.41,7015.95,Enterprise/AI,AI / Data Science,Shortage-Inflated,9.67,0.693,147.21
MPN-000078,Crucial,Crucial DDR5 6400MT/s,2025-12-30,EMEA,DDR5,DIMM,96,2,False,6400,28,1.25,28-30-30-60,SK Hynix,D-Die,8.75,10.7854,41537.62,7.0642,49.45,4747.16,Enterprise/AI,AI / Data Science,Shortage-Inflated,6.66,0.7993,206.29
MPN-000079,Crucial,Crucial DDR4 3600MT/s,2026-03-07,Europe,DDR4,SODIMM,128,1,False,3600,17,1.45,17-19-19-38,Samsung,B-Die,9.4444,8.6322,31510.06,8.1454,26.07,3336.36,Enterprise/AI,AI / Data Science,Shortage-Inflated,6.55,0.8268,221.57
MPN-000080,Samsung,Samsung DDR5 7600MT/s,2025-07-19,Europe,DDR5,DIMM,512,4,False,7600,40,1.3,40-42-42-84,Micron,R-Die,10.5263,3.2156,199032.31,5.2757,36.93,18908.07,Enterprise/AI,AI / Data Science,Shortage-Inflated,9.25,0.732,168.88
MPN-000081,Silicon Power,Silicon Power DDR4 3200MT/s,2025-11-25,Europe,DDR4,DIMM,8,2,False,3200,17,1.2,17-19-19-38,SK Hynix,D-Die,10.625,274.3664,991.38,3.6448,11.66,93.31,Consumer,Basic Productivity,Shortage-Inflated,8.02,0.7849,198.3
MPN-000082,Samsung,Samsung DDR4 2666MT/s,2025-06-02,North America,DDR4,SODIMM,8,2,False,2666,15,1.2,15-17-17-34,Samsung,E-Die,11.2528,319.054,752.22,2.6112,8.36,66.85,Consumer,Basic Productivity,Shortage-Inflated,10.09,0.7127,158.16
MPN-000083,Kingston,Kingston DDR5 6000MT/s,2025-08-21,Asia-Pacific,DDR5,DIMM,128,2,False,6000,38,1.35,38-40-40-80,SK Hynix,C-Die,12.6667,9.572,63518.36,5.5967,39.18,5014.61,Enterprise/AI,AI / Data Science,Shortage-Inflated,8.33,0.7455,176.41
MPN-000084,Mushkin,Mushkin DDR5 7200MT/s,2026-01-27,Europe,DDR5,DIMM,64,4,False,7200,36,1.3,36-38-38-76,Samsung,D-Die,10.0,17.2308,33428.5,7.4617,52.23,3342.85,Enterprise/AI,Content Creation,Shortage-Inflated,6.47,0.8108,212.67
MPN-000085,Kingston,Kingston DDR5 8000MT/s,2024-05-22,Latin America,DDR5,DIMM,48,2,True,8000,42,1.45,42-44-44-88,Samsung,E-Die,10.5,186.0824,3611.3,1.0236,7.17,343.93,Consumer,Content Creation,Normal,12.92,0.5583,72.39
MPN-000086,Lexar,Lexar DDR5 5600MT/s,2025-09-28,North America,DDR5,SODIMM,128,2,False,5600,30,1.4,30-32-32-64,SK Hynix,C-Die,10.7143,8.0516,59615.79,6.21,43.47,5564.14,Enterprise/AI,AI / Data Science,Shortage-Inflated,8.09,0.7611,185.07
MPN-000087,Kingston,Kingston DDR5 5600MT/s,2025-04-11,Latin America,DDR5,DIMM,32,2,False,5600,40,1.45,40-42-42-84,SK Hynix,M-Die,14.2857,87.5513,7310.0,2.2844,15.99,511.7,Consumer,Gaming (AAA),Normal,10.23,0.6913,146.3
MPN-000088,Silicon Power,Silicon Power DDR4 2133MT/s,2024-04-12,Asia-Pacific,DDR4,SODIMM,128,2,False,2133,22,1.45,22-24-24-48,Micron,E-Die,20.6282,22.0873,15936.75,1.8862,6.04,772.57,Enterprise/AI,AI / Data Science,Normal,14.23,0.5419,63.27
MPN-000089,Micron,Micron DDR5 6800MT/s,2026-06-13,Europe,DDR5,SODIMM,128,2,True,6800,38,1.4,38-40-40-80,Micron,Z-Die,11.1765,6.9171,87897.59,8.7774,61.44,7864.52,Enterprise/AI,AI / Data Science,Shortage-Inflated,5.99,0.8671,243.92
MPN-000090,TeamGroup,TeamGroup DDR5 7200MT/s,2026-05-09,Greater China,DDR5,SODIMM,256,2,True,7200,40,1.45,40-42-42-84,Micron,Z-Die,11.1111,3.6987,173032.98,8.6903,60.83,15572.97,Enterprise/AI,AI / Data Science,Shortage-Inflated,6.45,0.8527,235.94
